RGB,缴纳地,个人-养老,个人-医疗,个人-失业,个人-大病,个人-公积金,个人-合计,社保-上限,社保-下限,医疗-上限,医疗-下限,公积金-上限,公积金-下限,
RBCN,上海,8.00%,2.00%,0.50%,,12.00%,22.50%,"36,921.00","7,384.00","36,921.00","7,384.00","36,921.00","2,690.00",
RBLC,上海,8.00%,2.00%,0.50%,,12.00%,22.50%,"36,921.00","7,384.00","36,921.00","7,384.00","36,921.00","2,690.00",
RBCT,上海,8.00%,2.00%,0.50%,,12.00%,22.50%,"36,921.00","7,384.00","36,921.00","7,384.00","36,921.00","2,690.00",
ETCN,上海,8.00%,2.00%,0.50%,,12.00%,22.50%,"36,921.00","7,384.00","36,921.00","7,384.00","36,921.00","2,690.00",
ETCN,北京,8.00%,2.00%,0.50%,3.00,12.00%,22.50%,35283,6821,35283,6821,35286,2420,
ETCN,武汉,8.00%,2.00%,0.30%,7.00,12.00%,22.30%,"22,467.00","4,494.00","22,467.00","4,494.00","34,560.25","2,210.00",
ETCN,深圳,8.00%,2.00%,0.20%,,5.00%,15.20%,27501,5500,"33,666.00","6,733.00","44,265.00","2,360.00",
ETCN,重庆,8.00%,2.00%,0.50%,5.00,12.00%,22.50%,"21,793.00","4,359.00","21,793.00","4,359.00","30,318.00","2,230.00",
ASCJ,济南,8.00%,2.00%,0.30%,,9.00%,19.30%,"21,207.00","4,242.00","21,207.00","4,242.00","32,305.00",2200,
PTCD,东莞,8.00%,0.50%,0.20%,,5.00%,13.70%,27501,4767,27501,4767,27391,1900,
AACN,上海,8.00%,2.00%,0.50%,,12.00%,22.50%,"36,921.00","7,384.00","36,921.00","7,384.00","36,921.00","2,690.00",
SXCN,上海,8.00%,2.00%,0.50%,,12.00%,22.50%,"36,921.00","7,384.00","36,921.00","7,384.00","36,921.00","2,690.00",
SXCN,深圳,8.00%,2.00%,0.30%,,12.00%,22.30%,27501,5500,"33,666.00","6,733.00","44,265.00","2,360.00",
RBTS,上海,8.00%,2.00%,0.50%,,12.00%,22.50%,"36,921.00","7,384.00","36,921.00","7,384.00","36,921.00","2,690.00",
RBTS,成都,8.00%,2.00%,4.00%,,12.00%,26.00%,"22,555.00","4,511.00","22,555.00","4,511.00",31362,2100,
RBTS,北京,8.00%,2.00%,0.50%,,12.00%,22.50%,35283,6821,35283,6821,35286,2420,
RBCC,上海,8.00%,2.00%,0.50%,,12.00%,22.50%,"36,921.00","7,384.00","36,921.00","7,384.00","36,921.00","2,690.00",
DCCB,北京,8.00%,2.00%,0.50%,3.00,12.00%,22.50%,35283,6821,35283,6821,35286,2420,
DCCC,常州,8.00%,2.00%,0.50%,,10.00%,20.50%,24396,4879,24396,4879,"33,800.00",2490,
PTCN,杭州,8.00%,2.00%,0.50%,,12.00%,22.50%,24930,4812,24930,4812,40694,2490,
RBAC,苏州园区,8.00%,2.00%,0.50%,5.00,8.00%,18.50%,24396,4879,24396,4879,38900,4879,
RBAC,上海,8.00%,2.00%,0.50%,,12.00%,22.50%,"36,921.00","7,384.00","36,921.00","7,384.00","36,921.00","2,690.00",
RBAC,深圳,8%,2.00%,0.20%,,12.00%,22.20%,27501,5500,"33,666.00","6,733.00","44,265.00","2,360.00",
RBAC,常州,8.00%,2.00%,0.50%,5.00,10.00%,20.50%,24396,4879,24396,4879,33800,2490,
RBAC,南京,8.00%,2.00%,0.50%,10.00,10.00%,20.50%,24396,4879,24396,4879,41400,2490,
RBCN,南京,8.00%,2.00%,0.50%,5.00,12.00%,22.50%,24396,4879,24396,4879,41400,2490,
RBCN,苏州园区,8.00%,2.00%,0.50%,5.00,12.00%,22.50%,24396,4879,24396,4879,38900,4879,
AACN,南京,8.00%,2.00%,0.50%,10.00,10.00%,20.50%,24396,4879,24396,4879,41400,2490,
RBCW,无锡,8.00%,2.00%,0.50%,,12.00%,22.50%,24396,4879,24396,4879,35200,2490,
BCSC,无锡,8.00%,2.00%,0.50%,,12.00%,22.50%,24396,4879,24396,4879,35200,2490,
BCSC,苏州,8.00%,2.00%,0.50%,,12.00%,22.50%,24396,4879,24396,4879,34700,4494,
CSCW,无锡,8.00%,2.00%,0.50%,,12.00%,22.50%,24396,4879,24396,4879,35200,2490,
RBHP,重庆,8.00%,2.00%,0.50%,5.00,12.00%,22.50%,"21,793.00","4,359.00","21,793.00","4,359.00","30,318.00","2,230.00",
RBCD,无锡,8.00%,2.00%,0.50%,,12.00%,22.50%,24396,4879,24396,4879,35200,2490,
RBCC,长沙,8.00%,2.00%,0.30%,15.00,10.00%,20.30%,21540,4308,20133,4027,"31,291.00","2,100.00",
QINP,青岛,8.00%,2.00%,0.30%,,12.00%,22.30%,"21,207.00","4,242.00","21,207.00","4,242.00","32,310.25","2,200.00",
RBDT,东海,8.00%,2.00%,0.50%,6.00,12.00%,22.50%,24396,4879,24396,4879,26200,4250,
RBCY,牙克石,8.00%,2.00%,0.50%,5.00,12.00%,22.50%,19032,3609.6,19032,3609.6,19032,1660,
PujP,成都,8.00%,2.00%,0.40%,,8.00%,18.40%,"22,555.00","4,511.00","22,555.00","4,511.00",31362,2100,
RBAG,成都,8.00%,2.00%,0.40%,,8.00%,18.40%,"22,555.00","4,511.00","22,555.00","4,511.00",31362,2100,
DCCX,西安市,8.00%,2.00%,0.30%,1.60,7.00%,17.30%,"23,195","4,639","24,267.00","4,853.00","31,716.00","2,160.00",
TTCB,北京,8.00%,2.00%,0.50%,,12.00%,22.50%,35283,6821,35283,6821,35286,2420,
TTCS,上海,8.00%,2.00%,0.50%,,12.00%,22.50%,"36,921.00","7,384.00","36,921.00","7,384.00","36,921.00","2,690.00",
RBSZ,深圳,8.00%,2.00%,0.20%,,5.00%,15.20%,27501,5500,"33,666.00","6,733.00","44,265.00","2,360.00",
ITKC,上海,8.00%,2.00%,0.50%,,12.00%,22.50%,"36,921.00","7,384.00","36,921.00","7,384.00","36,921.00","2,690.00",
DCCS,上海,8.00%,2.00%,0.50%,,12.00%,22.50%,"36,921.00","7,384.00","36,921.00","7,384.00","36,921.00","2,690.00",
SOCN,成都,8.00%,2.00%,0.40%,,8.00%,18.40%,"22,555.00","4,511.00","22,555.00","4,511.00",31362,2100,
SOCN,上海,8.00%,2.00%,0.50%,,8.00%,18.50%,"36,921.00","7,384.00","36,921.00","7,384.00","36,921.00","2,690.00",
SOCN,杭州,8.00%,2.00%,0.50%,,12.00%,22.50%,24930,4812,24930,4812,40694,2490,
SOCN,苏州,8.00%,2.00%,0.50%,5.00,8.00%,18.50%,24396,4879,24396,4879,38900,4879,
RBCN,南京,8.00%,2.00%,0.50%,10.00,12.00%,22.50%,24396,4879,24396,4879,41400,2490,
RBCE,南昌,8.00%,2.00%,0.50%,15.33,12.00%,22.50%,19191,3839,23000,4600,29589,2600,
